name,Include,STC category
Activewear Jackets,1,jacket
Activewear Pants,1,pant
Denim,1,pant
Bootcut Denim,1,pant
Classic Denim,1,pant
Skinny Denim,1,pant
Straight Denim,1,pant
Stretch Denim,1,pant
Dresses,1,dress
Day Dresses,1,dress
Jackets,1,jacket
Blazers,1,blazer
Casual Jackets,1,jacket
Coats,1,coat
Raincoats & Trenchcoats,1,coat
Wool Coats,1,coat
Casual Pants,1,pant
Dress Pants,1,pant
Skinny Pants,1,pant
Mid-length Skirts,1,skirt
Long Skirts,1,skirt
Suits,1,suit
Sweaters,1,sweater
Cardigans,1,sweater
Cashmere Sweaters,1,sweater
Crewnecks & Scoopnecks,1,sweater
Turtlenecks,1,sweater
V-Neck Sweaters,1,sweater
Button Front Tops,1,blouse
Cashmere Tops,1,top
Longsleeve Tops,1,top
Shortsleeve Tops,1,top
Tanks,1,top
Polos,1,top
Flats,1,shoes
Pumps,1,shoes
